STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
IPN,M,2,RAIN,1960-06-01 00:00,1960-09-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1960-07-01 00:00,1960-10-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1960-08-01 00:00,1960-11-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1960-09-01 00:00,1960-12-30 00:00,0.05,,INCHES
IPN,M,2,RAIN,1960-10-01 00:00,1960-01-31 00:00,0.30,,INCHES
IPN,M,2,RAIN,1960-11-01 00:00,1960-02-29 00:00,2.03,,INCHES
IPN,M,2,RAIN,1960-12-01 00:00,1960-03-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1961-01-01 00:00,1961-05-01 00:00,0.57,,INCHES
IPN,M,2,RAIN,1961-02-01 00:00,1961-06-01 00:00,0.01,,INCHES
IPN,M,2,RAIN,1961-03-01 00:00,1961-07-01 00:00,0.02,,INCHES
IPN,M,2,RAIN,1961-04-01 00:00,1961-08-01 00:00,0.05,,INCHES
IPN,M,2,RAIN,1961-05-01 00:00,1961-09-01 00:00,0.03,,INCHES
IPN,M,2,RAIN,1961-06-01 00:00,1961-10-01 00:00,0.03,,INCHES
IPN,M,2,RAIN,1961-07-01 00:00,1961-11-01 00:00,0.11,,INCHES
IPN,M,2,RAIN,1961-08-01 00:00,1961-12-01 00:00,0.45,,INCHES
IPN,M,2,RAIN,1961-09-01 00:00,1961-01-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1961-10-01 00:00,1961-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1961-11-01 00:00,1961-02-28 00:00,0.44,,INCHES
IPN,M,2,RAIN,1961-12-01 00:00,1961-03-31 00:00,0.18,,INCHES
IPN,M,2,RAIN,1962-01-01 00:00,1962-04-30 00:00,1.18,,INCHES
IPN,M,2,RAIN,1962-02-01 00:00,1962-05-31 00:00,3.81,,INCHES
IPN,M,2,RAIN,1962-03-01 00:00,1962-06-30 00:00,0.31,,INCHES
IPN,M,2,RAIN,1962-04-01 00:00,1962-07-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1962-05-01 00:00,1962-08-31 00:00,0.28,,INCHES
IPN,M,2,RAIN,1962-06-01 00:00,1962-09-30 00:00,0.22,,INCHES
IPN,M,2,RAIN,1962-07-01 00:00,1962-10-31 00:00,0.26,,INCHES
IPN,M,2,RAIN,1962-08-01 00:00,1962-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1962-09-01 00:00,1962-12-31 00:00,0.32,,INCHES
IPN,M,2,RAIN,1962-10-01 00:00,1962-01-31 00:00,0.15,,INCHES
IPN,M,2,RAIN,1962-11-01 00:00,1962-02-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1962-12-01 00:00,1962-03-31 00:00,0.01,,INCHES
IPN,M,2,RAIN,1963-01-01 00:00,1963-04-30 00:00,2.21,,INCHES
IPN,M,2,RAIN,1963-02-01 00:00,1963-05-31 00:00,3.90,,INCHES
IPN,M,2,RAIN,1963-03-01 00:00,1963-06-30 00:00,0.45,,INCHES
IPN,M,2,RAIN,1963-04-01 00:00,1963-07-31 00:00,0.36,,INCHES
IPN,M,2,RAIN,1963-05-01 00:00,1963-08-31 00:00,0.16,,INCHES
IPN,M,2,RAIN,1963-06-01 00:00,1963-09-30 00:00,0.84,,INCHES
IPN,M,2,RAIN,1963-07-01 00:00,1963-10-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1963-08-01 00:00,1963-11-30 00:00,1.39,,INCHES
IPN,M,2,RAIN,1963-09-01 00:00,1963-12-31 00:00,0.76,,INCHES
IPN,M,2,RAIN,1963-10-01 00:00,1963-01-31 00:00,0.16,,INCHES
IPN,M,2,RAIN,1963-11-01 00:00,1963-02-28 00:00,0.03,,INCHES
IPN,M,2,RAIN,1963-12-01 00:00,1963-03-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1964-01-01 00:00,1964-04-29 00:00,0.14,,INCHES
IPN,M,2,RAIN,1964-02-01 00:00,1964-05-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1964-03-01 00:00,1964-06-29 00:00,0.02,,INCHES
IPN,M,2,RAIN,1964-04-01 00:00,1964-07-30 00:00,0.07,,INCHES
IPN,M,2,RAIN,1964-05-01 00:00,1964-08-30 00:00,0.35,,INCHES
IPN,M,2,RAIN,1964-06-01 00:00,1964-09-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1964-07-01 00:00,1964-10-30 00:00,0.07,,INCHES
IPN,M,2,RAIN,1964-08-01 00:00,1964-11-29 00:00,0.04,,INCHES
IPN,M,2,RAIN,1964-09-01 00:00,1964-12-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1964-10-01 00:00,1964-01-31 00:00,0.11,,INCHES
IPN,M,2,RAIN,1964-11-01 00:00,1964-02-28 00:00,0.21,,INCHES
IPN,M,2,RAIN,1964-12-01 00:00,1964-03-30 00:00,1.24,,INCHES
IPN,M,2,RAIN,1965-01-01 00:00,1965-04-30 00:00,0.40,,INCHES
IPN,M,2,RAIN,1965-02-01 00:00,1965-05-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1965-03-01 00:00,1965-06-30 00:00,0.02,,INCHES
IPN,M,2,RAIN,1965-04-01 00:00,1965-07-31 00:00,1.16,,INCHES
IPN,M,2,RAIN,1965-05-01 00:00,1965-08-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1965-06-01 00:00,1965-09-30 00:00,0.14,,INCHES
IPN,M,2,RAIN,1965-07-01 00:00,1965-10-31 00:00,0.98,,INCHES
IPN,M,2,RAIN,1965-08-01 00:00,1965-11-30 00:00,0.13,,INCHES
IPN,M,2,RAIN,1965-09-01 00:00,1965-12-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1965-10-01 00:00,1965-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1965-11-01 00:00,1965-02-28 00:00,2.57,,INCHES
IPN,M,2,RAIN,1965-12-01 00:00,1965-03-31 00:00,0.70,,INCHES
IPN,M,2,RAIN,1966-01-01 00:00,1966-04-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-02-01 00:00,1966-05-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-03-01 00:00,1966-06-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-04-01 00:00,1966-07-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-05-01 00:00,1966-08-31 00:00,0.24,,INCHES
IPN,M,2,RAIN,1966-06-01 00:00,1966-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-07-01 00:00,1966-10-31 00:00,0.03,,INCHES
IPN,M,2,RAIN,1966-08-01 00:00,1966-11-30 00:00,0.07,,INCHES
IPN,M,2,RAIN,1966-09-01 00:00,1966-12-31 00:00,0.13,,INCHES
IPN,M,2,RAIN,1966-10-01 00:00,1966-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1966-11-01 00:00,1966-02-28 00:00,0.38,,INCHES
IPN,M,2,RAIN,1966-12-01 00:00,1966-03-31 00:00,9.90,,INCHES
IPN,M,2,RAIN,1967-01-01 00:00,1967-04-30 00:00,1.73,,INCHES
IPN,M,2,RAIN,1967-02-01 00:00,1967-05-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1967-03-01 00:00,1967-06-30 00:00,0.03,,INCHES
IPN,M,2,RAIN,1967-04-01 00:00,1967-07-31 00:00,0.30,,INCHES
IPN,M,2,RAIN,1967-05-01 00:00,1967-08-31 00:00,0.12,,INCHES
IPN,M,2,RAIN,1967-06-01 00:00,1967-09-30 00:00,0.07,,INCHES
IPN,M,2,RAIN,1967-07-01 00:00,1967-10-31 00:00,0.01,,INCHES
IPN,M,2,RAIN,1967-08-01 00:00,1967-11-30 00:00,0.18,,INCHES
IPN,M,2,RAIN,1967-09-01 00:00,1967-12-31 00:00,0.33,,INCHES
IPN,M,2,RAIN,1967-10-01 00:00,1967-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1967-11-01 00:00,1967-02-28 00:00,0.89,,INCHES
IPN,M,2,RAIN,1967-12-01 00:00,1967-03-31 00:00,0.09,,INCHES
IPN,M,2,RAIN,1968-01-01 00:00,1968-04-29 00:00,0.02,,INCHES
IPN,M,2,RAIN,1968-02-01 00:00,1968-05-30 00:00,0.43,,INCHES
IPN,M,2,RAIN,1968-03-01 00:00,1968-06-29 00:00,0.14,,INCHES
IPN,M,2,RAIN,1968-04-01 00:00,1968-07-30 00:00,0.01,,INCHES
IPN,M,2,RAIN,1968-05-01 00:00,1968-08-30 00:00,0.08,,INCHES
IPN,M,2,RAIN,1968-06-01 00:00,1968-09-29 00:00,0.01,,INCHES
IPN,M,2,RAIN,1968-07-01 00:00,1968-10-30 00:00,0.32,,INCHES
IPN,M,2,RAIN,1968-08-01 00:00,1968-11-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1968-09-01 00:00,1968-12-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1968-10-01 00:00,1968-01-31 00:00,0.09,,INCHES
IPN,M,2,RAIN,1968-11-01 00:00,1968-02-29 00:00,0.14,,INCHES
IPN,M,2,RAIN,1968-12-01 00:00,1968-03-31 00:00,0.32,,INCHES
IPN,M,2,RAIN,1969-01-01 00:00,1969-05-01 00:00,10.71,,INCHES
IPN,M,2,RAIN,1969-02-01 00:00,1969-06-01 00:00,3.68,,INCHES
IPN,M,2,RAIN,1969-03-01 00:00,1969-07-01 00:00,0.37,,INCHES
IPN,M,2,RAIN,1969-04-01 00:00,1969-08-01 00:00,0.07,,INCHES
IPN,M,2,RAIN,1969-05-01 00:00,1969-09-01 00:00,0.26,,INCHES
IPN,M,2,RAIN,1969-06-01 00:00,1969-10-01 00:00,0.16,,INCHES
IPN,M,2,RAIN,1969-07-01 00:00,1969-11-01 00:00,0.21,,INCHES
IPN,M,2,RAIN,1969-08-01 00:00,1969-12-01 00:00,0.06,,INCHES
IPN,M,2,RAIN,1969-09-01 00:00,1969-01-01 00:00,0.03,,INCHES
IPN,M,2,RAIN,1969-10-01 00:00,1969-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1969-11-01 00:00,1969-02-28 00:00,0.01,,INCHES
IPN,M,2,RAIN,1969-12-01 00:00,1969-03-31 00:00,0.23,,INCHES
IPN,M,2,RAIN,1970-01-01 00:00,1970-04-30 00:00,1.81,,INCHES
IPN,M,2,RAIN,1970-02-01 00:00,1970-05-31 00:00,0.77,,INCHES
IPN,M,2,RAIN,1970-03-01 00:00,1970-06-30 00:00,0.17,,INCHES
IPN,M,2,RAIN,1970-04-01 00:00,1970-07-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-05-01 00:00,1970-08-31 00:00,0.03,,INCHES
IPN,M,2,RAIN,1970-06-01 00:00,1970-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-07-01 00:00,1970-10-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-08-01 00:00,1970-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-09-01 00:00,1970-12-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-10-01 00:00,1970-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1970-11-01 00:00,1970-02-28 00:00,2.36,,INCHES
IPN,M,2,RAIN,1970-12-01 00:00,1970-03-31 00:00,5.94,,INCHES
IPN,M,2,RAIN,1971-01-01 00:00,1971-04-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-02-01 00:00,1971-05-31 00:00,0.02,,INCHES
IPN,M,2,RAIN,1971-03-01 00:00,1971-06-30 00:00,0.04,,INCHES
IPN,M,2,RAIN,1971-04-01 00:00,1971-07-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-05-01 00:00,1971-08-31 00:00,0.98,,INCHES
IPN,M,2,RAIN,1971-06-01 00:00,1971-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-07-01 00:00,1971-10-31 00:00,0.11,,INCHES
IPN,M,2,RAIN,1971-08-01 00:00,1971-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-09-01 00:00,1971-12-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-10-01 00:00,1971-01-31 00:00,0.20,,INCHES
IPN,M,2,RAIN,1971-11-01 00:00,1971-02-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1971-12-01 00:00,1971-03-31 00:00,1.37,,INCHES
IPN,M,2,RAIN,1972-01-01 00:00,1972-04-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-02-01 00:00,1972-05-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-03-01 00:00,1972-06-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-04-01 00:00,1972-07-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-05-01 00:00,1972-08-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-06-01 00:00,1972-09-29 00:00,0.04,,INCHES
IPN,M,2,RAIN,1972-07-01 00:00,1972-10-30 00:00,0.13,,INCHES
IPN,M,2,RAIN,1972-08-01 00:00,1972-11-29 00:00,0.03,,INCHES
IPN,M,2,RAIN,1972-09-01 00:00,1972-12-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1972-10-01 00:00,1972-01-31 00:00,0.21,,INCHES
IPN,M,2,RAIN,1972-11-01 00:00,1972-02-29 00:00,1.23,,INCHES
IPN,M,2,RAIN,1972-12-01 00:00,1972-03-31 00:00,0.44,,INCHES
IPN,M,2,RAIN,1973-01-01 00:00,1973-05-01 00:00,2.86,,INCHES
IPN,M,2,RAIN,1973-02-01 00:00,1973-06-01 00:00,1.62,,INCHES
IPN,M,2,RAIN,1973-03-01 00:00,1973-07-01 00:00,0.44,,INCHES
IPN,M,2,RAIN,1973-04-01 00:00,1973-08-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1973-05-01 00:00,1973-09-01 00:00,0.30,,INCHES
IPN,M,2,RAIN,1973-06-01 00:00,1973-10-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1973-07-01 00:00,1973-11-01 00:00,0.04,,INCHES
IPN,M,2,RAIN,1973-08-01 00:00,1973-12-01 00:00,0.38,,INCHES
IPN,M,2,RAIN,1973-09-01 00:00,1973-01-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1973-10-01 00:00,1973-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1973-11-01 00:00,1973-02-28 00:00,0.98,,INCHES
IPN,M,2,RAIN,1973-12-01 00:00,1973-03-31 00:00,0.07,,INCHES
IPN,M,2,RAIN,1974-01-01 00:00,1974-04-30 00:00,1.81,,INCHES
IPN,M,2,RAIN,1974-02-01 00:00,1974-05-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1974-03-01 00:00,1974-06-30 00:00,1.16,,INCHES
IPN,M,2,RAIN,1974-04-01 00:00,1974-07-31 00:00,0.33,,INCHES
IPN,M,2,RAIN,1974-05-01 00:00,1974-08-31 00:00,0.14,,INCHES
IPN,M,2,RAIN,1974-06-01 00:00,1974-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1974-07-01 00:00,1974-10-31 00:00,0.13,,INCHES
IPN,M,2,RAIN,1974-08-01 00:00,1974-11-30 00:00,0.03,,INCHES
IPN,M,2,RAIN,1974-09-01 00:00,1974-12-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1974-10-01 00:00,1974-01-31 00:00,0.82,,INCHES
IPN,M,2,RAIN,1974-11-01 00:00,1974-02-28 00:00,0.19,,INCHES
IPN,M,2,RAIN,1974-12-01 00:00,1974-03-31 00:00,0.75,,INCHES
IPN,M,2,RAIN,1975-01-01 00:00,1975-04-30 00:00,0.03,,INCHES
IPN,M,2,RAIN,1975-02-01 00:00,1975-05-31 00:00,0.17,,INCHES
IPN,M,2,RAIN,1975-03-01 00:00,1975-06-30 00:00,0.70,,INCHES
IPN,M,2,RAIN,1975-04-01 00:00,1975-07-31 00:00,0.06,,INCHES
IPN,M,2,RAIN,1975-05-01 00:00,1975-08-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1975-06-01 00:00,1975-09-30 00:00,0.15,,INCHES
IPN,M,2,RAIN,1975-07-01 00:00,1975-10-31 00:00,0.08,,INCHES
IPN,M,2,RAIN,1975-08-01 00:00,1975-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1975-09-01 00:00,1975-12-31 00:00,0.80,,INCHES
IPN,M,2,RAIN,1975-10-01 00:00,1975-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1975-11-01 00:00,1975-02-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1975-12-01 00:00,1975-03-31 00:00,0.10,,INCHES
IPN,M,2,RAIN,1976-01-01 00:00,1976-04-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1976-02-01 00:00,1976-05-30 00:00,2.23,,INCHES
IPN,M,2,RAIN,1976-03-01 00:00,1976-06-29 00:00,0.41,,INCHES
IPN,M,2,RAIN,1976-04-01 00:00,1976-07-30 00:00,0.32,,INCHES
IPN,M,2,RAIN,1976-05-01 00:00,1976-08-30 00:00,0.68,,INCHES
IPN,M,2,RAIN,1976-06-01 00:00,1976-09-29 00:00,0.13,,INCHES
IPN,M,2,RAIN,1976-07-01 00:00,1976-10-30 00:00,0.98,,INCHES
IPN,M,2,RAIN,1976-08-01 00:00,1976-11-29 00:00,0.01,,INCHES
IPN,M,2,RAIN,1976-09-01 00:00,1976-12-30 00:00,2.16,,INCHES
IPN,M,2,RAIN,1976-10-01 00:00,1976-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1976-11-01 00:00,1976-02-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1976-12-01 00:00,1976-03-31 00:00,0.01,,INCHES
IPN,M,2,RAIN,1977-01-01 00:00,1977-05-01 00:00,0.48,,INCHES
IPN,M,2,RAIN,1977-02-01 00:00,1977-06-01 00:00,0.34,,INCHES
IPN,M,2,RAIN,1977-03-01 00:00,1977-07-01 00:00,0.05,,INCHES
IPN,M,2,RAIN,1977-04-01 00:00,1977-08-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1977-05-01 00:00,1977-09-01 00:00,1.05,,INCHES
IPN,M,2,RAIN,1977-06-01 00:00,1977-10-01 00:00,0.68,,INCHES
IPN,M,2,RAIN,1977-07-01 00:00,1977-11-01 00:00,0.13,,INCHES
IPN,M,2,RAIN,1977-08-01 00:00,1977-12-01 00:00,0.55,,INCHES
IPN,M,2,RAIN,1977-09-01 00:00,1977-01-01 00:00,0.00,,INCHES
IPN,M,2,RAIN,1977-10-01 00:00,1977-01-31 00:00,0.07,,INCHES
IPN,M,2,RAIN,1977-11-01 00:00,1977-02-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1977-12-01 00:00,1977-03-31 00:00,2.60,,INCHES
IPN,M,2,RAIN,1978-01-01 00:00,1978-04-30 00:00,2.34,,INCHES
IPN,M,2,RAIN,1978-02-01 00:00,1978-05-31 00:00,2.83,,INCHES
IPN,M,2,RAIN,1978-03-01 00:00,1978-06-30 00:00,3.34,,INCHES
IPN,M,2,RAIN,1978-04-01 00:00,1978-07-31 00:00,0.10,,INCHES
IPN,M,2,RAIN,1978-05-01 00:00,1978-08-31 00:00,0.07,,INCHES
IPN,M,2,RAIN,1978-06-01 00:00,1978-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1978-07-01 00:00,1978-10-31 00:00,0.32,,INCHES
IPN,M,2,RAIN,1978-08-01 00:00,1978-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1978-09-01 00:00,1978-12-31 00:00,0.64,,INCHES
IPN,M,2,RAIN,1978-10-01 00:00,1978-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1978-11-01 00:00,1978-02-28 00:00,0.05,,INCHES
IPN,M,2,RAIN,1978-12-01 00:00,1978-03-31 00:00,0.05,,INCHES
IPN,M,2,RAIN,1979-01-01 00:00,1979-04-30 00:00,0.84,,INCHES
IPN,M,2,RAIN,1979-02-01 00:00,1979-05-31 00:00,0.48,,INCHES
IPN,M,2,RAIN,1979-03-01 00:00,1979-06-30 00:00,0.57,,INCHES
IPN,M,2,RAIN,1979-04-01 00:00,1979-07-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1979-05-01 00:00,1979-08-31 00:00,0.21,,INCHES
IPN,M,2,RAIN,1979-06-01 00:00,1979-09-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1979-07-01 00:00,1979-10-31 00:00,0.06,,INCHES
IPN,M,2,RAIN,1979-08-01 00:00,1979-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1979-09-01 00:00,1979-12-31 00:00,0.28,,INCHES
IPN,M,2,RAIN,1979-10-01 00:00,1979-01-31 00:00,0.10,,INCHES
IPN,M,2,RAIN,1979-11-01 00:00,1979-02-28 00:00,0.11,,INCHES
IPN,M,2,RAIN,1979-12-01 00:00,1979-03-31 00:00,0.01,,INCHES
IPN,M,2,RAIN,1980-01-01 00:00,1980-04-29 00:00,2.80,,INCHES
IPN,M,2,RAIN,1980-02-01 00:00,1980-05-30 00:00,3.92,,INCHES
IPN,M,2,RAIN,1980-03-01 00:00,1980-06-29 00:00,0.46,,INCHES
IPN,M,2,RAIN,1980-04-01 00:00,1980-07-30 00:00,0.84,,INCHES
IPN,M,2,RAIN,1980-05-01 00:00,1980-08-30 00:00,0.08,,INCHES
IPN,M,2,RAIN,1980-06-01 00:00,1980-09-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1980-07-01 00:00,1980-10-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1980-08-01 00:00,1980-11-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1980-09-01 00:00,1980-12-30 00:00,0.05,,INCHES
IPN,M,2,RAIN,1980-10-01 00:00,1980-10-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1980-11-01 00:00,1980-11-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1980-12-01 00:00,1980-12-31 00:00,0.51,,INCHES
IPN,M,2,RAIN,1981-01-01 00:00,1981-01-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-02-01 00:00,1981-02-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-03-01 00:00,1981-03-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-04-01 00:00,1981-04-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-05-01 00:00,1981-05-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-06-01 00:00,1981-06-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-07-01 00:00,1981-07-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-08-01 00:00,1981-08-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-09-01 00:00,1981-09-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-10-01 00:00,1981-10-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-11-01 00:00,1981-11-01 00:00,,,INCHES
IPN,M,2,RAIN,1981-12-01 00:00,1981-12-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-01-01 00:00,1982-01-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-02-01 00:00,1982-02-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-03-01 00:00,1982-03-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-04-01 00:00,1982-04-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-05-01 00:00,1982-05-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-06-01 00:00,1982-06-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-07-01 00:00,1982-07-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-08-01 00:00,1982-08-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-09-01 00:00,1982-09-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-10-01 00:00,1982-10-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-11-01 00:00,1982-11-01 00:00,,,INCHES
IPN,M,2,RAIN,1982-12-01 00:00,1982-12-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-01-01 00:00,1983-01-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-02-01 00:00,1983-02-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-03-01 00:00,1983-03-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-04-01 00:00,1983-04-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-05-01 00:00,1983-05-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-06-01 00:00,1983-06-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-07-01 00:00,1983-07-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-08-01 00:00,1983-08-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-09-01 00:00,1983-09-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-10-01 00:00,1983-10-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-11-01 00:00,1983-11-01 00:00,,,INCHES
IPN,M,2,RAIN,1983-12-01 00:00,1983-12-01 00:00,,,INCHES
IPN,M,2,RAIN,1984-01-01 00:00,1984-12-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1984-02-01 00:00,1984-01-31 00:00,0.12,,INCHES
IPN,M,2,RAIN,1984-03-01 00:00,1984-02-29 00:00,0.90,,INCHES
IPN,M,2,RAIN,1984-04-01 00:00,1984-03-31 00:00,0.20,,INCHES
IPN,M,2,RAIN,1984-05-01 00:00,1984-04-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1984-06-01 00:00,1984-05-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1984-07-01 00:00,1984-06-28 00:00,0.15,,INCHES
IPN,M,2,RAIN,1984-08-01 00:00,1984-07-29 00:00,0.40,,INCHES
IPN,M,2,RAIN,1984-09-01 00:00,1984-08-29 00:00,0.20,,INCHES
IPN,M,2,RAIN,1984-10-01 00:00,1984-09-28 00:00,0.34,,INCHES
IPN,M,2,RAIN,1984-11-01 00:00,1984-10-29 00:00,1.59,,INCHES
IPN,M,2,RAIN,1984-12-01 00:00,1984-11-28 00:00,1.30,,INCHES
IPN,M,2,RAIN,1985-01-01 00:00,1985-12-30 00:00,0.27,,INCHES
IPN,M,2,RAIN,1985-02-01 00:00,1985-01-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1985-03-01 00:00,1985-03-01 00:00,0.42,,INCHES
IPN,M,2,RAIN,1985-04-01 00:00,1985-03-31 00:00,0.00,,INCHES
IPN,M,2,RAIN,1985-05-01 00:00,1985-04-30 00:00,0.00,,INCHES
IPN,M,2,RAIN,1985-06-01 00:00,1985-05-29 00:00,0.99,,INCHES
IPN,M,2,RAIN,1985-07-01 00:00,1985-06-28 00:00,0.59,,INCHES
IPN,M,2,RAIN,1985-08-01 00:00,1985-07-29 00:00,0.00,,INCHES
IPN,M,2,RAIN,1985-09-01 00:00,1985-08-29 00:00,0.16,,INCHES
IPN,M,2,RAIN,1985-10-01 00:00,1985-09-28 00:00,0.00,,INCHES
IPN,M,2,RAIN,1985-11-01 00:00,1985-10-29 00:00,1.10,,INCHES
IPN,M,2,RAIN,1985-12-01 00:00,1985-11-28 00:00,0.70,,INCHES
IPN,M,2,RAIN,1986-01-01 00:00,1986-12-29 00:00,2.12,,INCHES
IPN,M,2,RAIN,1986-02-01 00:00,1986-01-31 00:00,3.87,,INCHES
IPN,M,2,RAIN,1986-03-01 00:00,1986-03-01 00:00,1.39,,INCHES
IPN,M,2,RAIN,1986-04-01 00:00,1986-03-31 00:00,0.75,,INCHES
IPN,M,2,RAIN,1986-05-01 00:00,1986-04-30 00:00,0.00,,INCHES
